CompID	Calc. MW	m/z	RT (min)	Reference Ion
1886	148.0377	147.0299	84.73678509	Alpha-hydroxyglutaric acid
1891	280.1054	281.1132	321.6456447	Asp-Phe
1898	582.24731	583.25511	581.6761064	Biliverdin
1913	145.10976	146.11756	57.24712539	Deoxycarnitine
1914	227.09008	228.09788	83.02050197	Deoxycytidine
1916	105.07846	106.08626	54.19560081	Diethanolamine
1918	158.03328	157.02548	70.8	Dihydroorotic acid
1930	441.14021	440.13241	342	Folic acid
1934	259.04518	260.05298	57.4556186	Glucosamine 6-phosphate
1938	283.09115	284.09895	163.6329399	Guanosine
1946	182.05843	181.05063	323.2980896	Hydroxyphenyllactic acid
1951	161.0482	160.0404	514.5802903	Indole-3-carboxylic acid
1965	115.027467	114.019667	68.94713637	Maleamic acid
1966	344.13239	343.12459	48	Maltitol
1967	179.07885	180.08665	54.3910525	Mannosamine
1973	118.02713	117.01933	137.2511788	Methylmalonic acid
1980	175.0486	174.0408	78.37434919	N-Acetyl-aspartic acid
1981	173.10467	174.11247	449.0496459	N-Acetyl-leucine
1982	293.11159	292.10379	141.7857709	N-Acetylmuramic acid
1983	309.10651	308.09871	53.52514278	N-Acetylneuraminate
1984	130.11009	131.11789	63.18295768	N-Acetylputrescine
1986	177.04649	176.03869	306.3913562	N-Formyl-methionine
1993	131.09411	132.10191	138.8309129	Norleucine
1994	183.08902	184.09682	77.47161407	Normetanephrine
1995	147.05263	148.06043	67.91807471	o-Acetyl-serine
2001	185.00945	184.00165	50.86813253	o-Phospho-serine
2009	151.0628	152.0706	96.26043257	Phenylglycine
2011	166.02609	167.03389	384	Phthalic acid
2015	163.04889	164.05669	120	Pterin
2017	167.05877	166.05097	82.94881586	Pyridoxal
2018	168.08936	169.09716	57.32326796	Pyridoxamine
2025	182.99954	181.99174	310.8259314	Saccharin
2026	137.04716	138.05496	445.0432503	Salicylamide
2038	242.0908	241.083	252.6656206	Thymidine
2039	322.05713	321.04933	116.2082486	Thymidine 5-monophosphate
2043	137.04716	138.05496	57.71849176	Trigonelline
2066	388.26083	389.26863	588	"3,6-Diketocholanic acid (= 5?-CHOLANIC ACID-3, 6-DIONE)"
2067	210.1363	211.1441	472.0203897	"L,L-Cyclo(leucylprolyl) (= Cyclo(-Leu-Pro)"
2068	226.09483	227.10263	271.3156643	5-Oxo-L-prolyl-L-proline
2070	590.30991	591.31771	645	Urobilin (oxidized to Stercobilin)
2071	123.0315	124.0393	65.73046559	Isonicotinic acid (4-Picolinic acid)
2072	209.0682	210.076	222	Porphobilinogen
2074	406.2714	407.2792	573	"12-ketochenodeoxycholic acid (3a,7a-dihydroxy-12-oxo-5beta-cholanoic acid)"
2075	215.188	216.1958	524.0486644	12-Aminododecanoic acid (12-Aminododecanoate)
2076	390.27648	391.28428	612	3alpha-Hydroxy-7-oxo-5beta-cholanic acid
2115	117.053303	118.061103	53.00720574	Guanidoacetate (2-carbamimidamidoacetic acid)
2122	175.05878	176.06658	55.8	Guanidinosuccinic acid
